timestamp,parameter,value
2025-06-04 06:08:35,MIN_BUY_SCORE,0.29
2025-06-04 07:08:39,MIN_BUY_SCORE,0.3
2025-06-04 08:08:43,MIN_BUY_SCORE,0.3
2025-06-04 08:23:47,MIN_BUY_SCORE,0.3
2025-06-04 08:38:54,MIN_BUY_SCORE,0.3
2025-06-04 08:53:58,MIN_BUY_SCORE,0.3
2025-06-04 09:09:03,MIN_BUY_SCORE,0.31
2025-06-04 09:24:09,MIN_BUY_SCORE,0.31
2025-06-04 09:39:13,MIN_BUY_SCORE,0.31
2025-06-04 09:54:17,MIN_BUY_SCORE,0.31
2025-06-04 10:09:22,MIN_BUY_SCORE,0.31
2025-06-04 10:24:27,MIN_BUY_SCORE,0.31
2025-06-04 10:39:31,MIN_BUY_SCORE,0.31
2025-06-04 10:54:35,MIN_BUY_SCORE,0.32
2025-06-04 11:09:40,MIN_BUY_SCORE,0.32
2025-06-04 11:24:44,MIN_BUY_SCORE,0.32
2025-06-04 11:39:50,MIN_BUY_SCORE,0.32
2025-06-04 11:54:54,MIN_BUY_SCORE,0.32
2025-06-04 12:09:58,MIN_BUY_SCORE,0.32
2025-06-04 12:25:03,MIN_BUY_SCORE,0.32
2025-06-04 12:40:09,MIN_BUY_SCORE,0.32
2025-06-04 12:55:08,MIN_BUY_SCORE,0.32
2025-06-04 13:10:13,MIN_BUY_SCORE,0.32
2025-06-04 13:25:18,MIN_BUY_SCORE,0.32
2025-06-04 13:40:25,MIN_BUY_SCORE,0.32
2025-06-04 13:55:30,MIN_BUY_SCORE,0.33
2025-06-04 14:10:35,MIN_BUY_SCORE,0.33
2025-06-04 14:21:48,MIN_BUY_SCORE,0.33
2025-06-04 14:29:15,MIN_BUY_SCORE,0.33
2025-06-04 14:33:02,MIN_BUY_SCORE,0.33
2025-06-04 14:44:20,MIN_BUY_SCORE,0.33
2025-06-04 14:48:06,MIN_BUY_SCORE,0.33
2025-06-04 14:59:23,MIN_BUY_SCORE,0.33
2025-06-04 15:03:10,MIN_BUY_SCORE,0.33
2025-06-04 15:14:28,MIN_BUY_SCORE,0.33
2025-06-04 15:18:14,MIN_BUY_SCORE,0.34
2025-06-04 15:29:32,MIN_BUY_SCORE,0.34
2025-06-04 15:33:18,MIN_BUY_SCORE,0.34
2025-06-04 15:44:36,MIN_BUY_SCORE,0.34
2025-06-04 15:48:21,MIN_BUY_SCORE,0.34
2025-06-04 15:59:40,MIN_BUY_SCORE,0.34
2025-06-04 16:03:27,MIN_BUY_SCORE,0.34
2025-06-04 16:14:44,MIN_BUY_SCORE,0.34
2025-06-04 16:18:30,MIN_BUY_SCORE,0.35
2025-06-04 16:29:49,MIN_BUY_SCORE,0.35
2025-06-04 16:33:36,MIN_BUY_SCORE,0.35
2025-06-04 16:44:55,MIN_BUY_SCORE,0.35
2025-06-04 16:48:41,MIN_BUY_SCORE,0.35
2025-06-04 16:59:59,MIN_BUY_SCORE,0.35
2025-06-04 17:03:44,MIN_BUY_SCORE,0.35
2025-06-04 17:15:05,MIN_BUY_SCORE,0.35
2025-06-04 17:18:49,MIN_BUY_SCORE,0.35
2025-06-04 17:30:12,MIN_BUY_SCORE,0.35
2025-06-04 17:33:54,MIN_BUY_SCORE,0.35
2025-06-04 17:45:16,MIN_BUY_SCORE,0.35
2025-06-04 17:48:58,MIN_BUY_SCORE,0.35
2025-06-04 18:00:21,MIN_BUY_SCORE,0.35
2025-06-04 18:04:03,MIN_BUY_SCORE,0.35
2025-06-04 18:15:26,MIN_BUY_SCORE,0.35
2025-06-04 18:19:09,MIN_BUY_SCORE,0.35
2025-06-04 18:30:31,MIN_BUY_SCORE,0.35
2025-06-04 18:34:13,MIN_BUY_SCORE,0.35
2025-06-04 18:45:35,MIN_BUY_SCORE,0.35
2025-06-04 18:49:17,MIN_BUY_SCORE,0.35
2025-06-04 19:00:40,MIN_BUY_SCORE,0.35
2025-06-04 19:04:22,MIN_BUY_SCORE,0.35
2025-06-04 19:15:44,MIN_BUY_SCORE,0.35
2025-06-04 19:19:26,MIN_BUY_SCORE,0.35
2025-06-04 19:30:50,MIN_BUY_SCORE,0.35
2025-06-04 19:34:31,MIN_BUY_SCORE,0.35
2025-06-04 19:45:54,MIN_BUY_SCORE,0.35
2025-06-04 19:49:35,MIN_BUY_SCORE,0.35
2025-06-04 20:00:58,MIN_BUY_SCORE,0.35
2025-06-04 20:04:41,MIN_BUY_SCORE,0.35
2025-06-04 20:16:03,MIN_BUY_SCORE,0.35
2025-06-04 20:19:45,MIN_BUY_SCORE,0.35
2025-06-04 20:31:09,MIN_BUY_SCORE,0.35
2025-06-04 20:34:50,MIN_BUY_SCORE,0.35
2025-06-04 20:46:14,MIN_BUY_SCORE,0.35
2025-06-04 20:49:55,MIN_BUY_SCORE,0.35
2025-06-04 21:01:18,MIN_BUY_SCORE,0.35
2025-06-04 21:05:00,MIN_BUY_SCORE,0.35
2025-06-04 21:16:21,MIN_BUY_SCORE,0.35
2025-06-04 21:20:04,MIN_BUY_SCORE,0.35
2025-06-04 21:31:26,MIN_BUY_SCORE,0.35
2025-06-04 21:35:08,MIN_BUY_SCORE,0.35
2025-06-04 21:46:30,MIN_BUY_SCORE,0.36
2025-06-04 21:50:13,MIN_BUY_SCORE,0.36
2025-06-04 22:01:35,MIN_BUY_SCORE,0.36
2025-06-04 22:05:17,MIN_BUY_SCORE,0.36
2025-06-04 22:31:39,MIN_BUY_SCORE,0.36
2025-06-04 22:35:21,MIN_BUY_SCORE,0.36
2025-06-04 23:01:44,MIN_BUY_SCORE,0.36
2025-06-04 23:05:26,MIN_BUY_SCORE,0.36
2025-06-04 23:31:48,MIN_BUY_SCORE,0.36
2025-06-04 23:35:30,MIN_BUY_SCORE,0.36
2025-06-05 00:01:52,MIN_BUY_SCORE,0.36
2025-06-05 00:05:35,MIN_BUY_SCORE,0.36
2025-06-05 00:31:56,MIN_BUY_SCORE,0.37
2025-06-05 00:35:38,MIN_BUY_SCORE,0.37
2025-06-05 01:02:00,MIN_BUY_SCORE,0.37
2025-06-05 01:05:45,MIN_BUY_SCORE,0.37
2025-06-05 01:32:03,MIN_BUY_SCORE,0.37
2025-06-05 01:35:49,MIN_BUY_SCORE,0.37
2025-06-05 02:02:08,MIN_BUY_SCORE,0.37
2025-06-05 02:05:54,MIN_BUY_SCORE,0.37
2025-06-05 07:49:17,MIN_BUY_SCORE,0.38
2025-06-05 07:49:17,MIN_BUY_SCORE,0.38
2025-06-05 09:03:21,MIN_BUY_SCORE,0.38
2025-06-05 09:03:23,MIN_BUY_SCORE,0.38
2025-06-05 09:18:27,MIN_BUY_SCORE,0.38
2025-06-05 09:18:29,MIN_BUY_SCORE,0.38
2025-06-05 09:33:33,MIN_BUY_SCORE,0.38
2025-06-05 09:33:33,MIN_BUY_SCORE,0.38
2025-06-05 09:48:38,MIN_BUY_SCORE,0.38
2025-06-05 09:48:38,MIN_BUY_SCORE,0.39
2025-06-05 10:03:43,MIN_BUY_SCORE,0.39
2025-06-05 10:03:44,MIN_BUY_SCORE,0.39
2025-06-05 10:18:49,MIN_BUY_SCORE,0.39
2025-06-05 10:18:49,MIN_BUY_SCORE,0.39
2025-06-05 10:40:18,MIN_BUY_SCORE,0.39
2025-06-05 10:40:19,MIN_BUY_SCORE,0.39
2025-06-05 10:55:22,MIN_BUY_SCORE,0.39
2025-06-05 10:55:23,MIN_BUY_SCORE,0.4
2025-06-05 11:10:28,MIN_BUY_SCORE,0.4
2025-06-05 11:10:28,MIN_BUY_SCORE,0.4
2025-06-05 11:25:34,MIN_BUY_SCORE,0.4
2025-06-05 11:25:35,MIN_BUY_SCORE,0.4
2025-06-05 11:40:41,MIN_BUY_SCORE,0.4
2025-06-05 11:40:42,MIN_BUY_SCORE,0.4
2025-06-05 11:55:48,MIN_BUY_SCORE,0.4
2025-06-05 11:55:48,MIN_BUY_SCORE,0.4
2025-06-05 12:10:53,MIN_BUY_SCORE,0.4
2025-06-05 12:10:56,MIN_BUY_SCORE,0.4
2025-06-05 12:26:00,MIN_BUY_SCORE,0.4
2025-06-05 12:26:02,MIN_BUY_SCORE,0.41
2025-06-05 12:41:06,MIN_BUY_SCORE,0.41
2025-06-05 12:41:09,MIN_BUY_SCORE,0.41
2025-06-05 12:56:12,MIN_BUY_SCORE,0.41
2025-06-05 12:56:15,MIN_BUY_SCORE,0.41
2025-06-05 13:11:19,MIN_BUY_SCORE,0.41
2025-06-05 13:11:21,MIN_BUY_SCORE,0.41
2025-06-05 13:20:45,MIN_BUY_SCORE,0.41
2025-06-05 13:35:53,MIN_BUY_SCORE,0.41
2025-06-05 13:50:57,MIN_BUY_SCORE,0.41
2025-06-05 14:06:01,MIN_BUY_SCORE,0.41
2025-06-05 14:21:07,MIN_BUY_SCORE,0.41
2025-06-05 14:36:11,MIN_BUY_SCORE,0.42
2025-06-05 14:51:16,MIN_BUY_SCORE,0.42
2025-06-05 15:06:20,MIN_BUY_SCORE,0.42
2025-06-05 15:21:24,MIN_BUY_SCORE,0.42
2025-06-05 15:36:29,MIN_BUY_SCORE,0.42
2025-06-05 15:51:34,MIN_BUY_SCORE,0.42
2025-06-05 16:06:40,MIN_BUY_SCORE,0.42
2025-06-05 16:21:45,MIN_BUY_SCORE,0.42
2025-06-05 16:36:50,MIN_BUY_SCORE,0.42
2025-06-05 16:51:54,MIN_BUY_SCORE,0.42
2025-06-05 17:06:56,MIN_BUY_SCORE,0.42
2025-06-05 17:21:58,MIN_BUY_SCORE,0.42
2025-06-05 17:37:02,MIN_BUY_SCORE,0.42
2025-06-05 17:52:08,MIN_BUY_SCORE,0.42
2025-06-05 18:07:06,MIN_BUY_SCORE,0.42
2025-06-05 18:22:12,MIN_BUY_SCORE,0.43
2025-06-05 18:37:19,MIN_BUY_SCORE,0.43
2025-06-05 18:52:25,MIN_BUY_SCORE,0.43
2025-06-05 19:07:31,MIN_BUY_SCORE,0.43
2025-06-05 19:22:35,MIN_BUY_SCORE,0.43
2025-06-05 19:37:41,MIN_BUY_SCORE,0.43
2025-06-05 19:52:46,MIN_BUY_SCORE,0.43
2025-06-05 20:07:52,MIN_BUY_SCORE,0.43
2025-06-05 20:22:58,MIN_BUY_SCORE,0.43
2025-06-05 20:38:04,MIN_BUY_SCORE,0.43
2025-06-05 20:53:11,MIN_BUY_SCORE,0.43
2025-06-05 21:08:18,MIN_BUY_SCORE,0.43
2025-06-05 21:23:25,MIN_BUY_SCORE,0.43
2025-06-05 21:38:31,MIN_BUY_SCORE,0.43
2025-06-06 23:11:44,MIN_BUY_SCORE,0.44
2025-06-06 23:34:01,MIN_BUY_SCORE,0.44
2025-06-06 23:51:58,MIN_BUY_SCORE,0.44
2025-06-07 00:22:02,MIN_BUY_SCORE,0.44
2025-06-07 00:52:08,MIN_BUY_SCORE,0.44
2025-06-07 01:22:12,MIN_BUY_SCORE,0.44
2025-06-07 01:52:16,MIN_BUY_SCORE,0.44
2025-06-07 02:22:20,MIN_BUY_SCORE,0.44
2025-06-07 03:22:24,MIN_BUY_SCORE,0.44
2025-06-07 04:22:28,MIN_BUY_SCORE,0.44
2025-06-07 05:22:35,MIN_BUY_SCORE,0.44
2025-06-07 06:22:39,MIN_BUY_SCORE,0.44
2025-06-07 07:22:43,MIN_BUY_SCORE,0.44
2025-06-07 08:22:48,MIN_BUY_SCORE,0.44
2025-06-07 08:37:52,MIN_BUY_SCORE,0.45
2025-06-07 08:52:57,MIN_BUY_SCORE,0.45
2025-06-07 09:08:02,MIN_BUY_SCORE,0.45
2025-06-07 09:23:06,MIN_BUY_SCORE,0.45
2025-06-07 09:38:11,MIN_BUY_SCORE,0.45
2025-06-07 09:53:15,MIN_BUY_SCORE,0.45
2025-06-07 10:08:19,MIN_BUY_SCORE,0.45
2025-06-07 10:23:24,MIN_BUY_SCORE,0.45
2025-06-07 10:38:29,MIN_BUY_SCORE,0.45
2025-06-07 10:53:34,MIN_BUY_SCORE,0.45
2025-06-07 11:08:39,MIN_BUY_SCORE,0.45
2025-06-07 11:23:43,MIN_BUY_SCORE,0.45
2025-06-07 11:38:48,MIN_BUY_SCORE,0.45
2025-06-07 11:53:53,MIN_BUY_SCORE,0.45
2025-06-07 12:08:58,MIN_BUY_SCORE,0.45
2025-06-07 12:24:02,MIN_BUY_SCORE,0.45
2025-06-07 12:39:06,MIN_BUY_SCORE,0.46
2025-06-07 12:54:09,MIN_BUY_SCORE,0.46
2025-06-07 13:09:15,MIN_BUY_SCORE,0.46
2025-06-07 13:24:19,MIN_BUY_SCORE,0.46
2025-06-07 13:39:23,MIN_BUY_SCORE,0.46
2025-06-07 13:54:28,MIN_BUY_SCORE,0.46
2025-06-07 14:09:32,MIN_BUY_SCORE,0.46
2025-06-07 14:24:37,MIN_BUY_SCORE,0.46
2025-06-07 14:39:41,MIN_BUY_SCORE,0.46
2025-06-07 14:54:46,MIN_BUY_SCORE,0.46
2025-06-07 15:09:50,MIN_BUY_SCORE,0.46
2025-06-07 15:24:55,MIN_BUY_SCORE,0.46
2025-06-07 15:39:59,MIN_BUY_SCORE,0.46
2025-06-07 15:55:03,MIN_BUY_SCORE,0.46
2025-06-07 16:10:08,MIN_BUY_SCORE,0.46
2025-06-07 16:25:13,MIN_BUY_SCORE,0.46
2025-06-07 16:40:18,MIN_BUY_SCORE,0.46
2025-06-07 16:55:22,MIN_BUY_SCORE,0.46
2025-06-07 17:10:27,MIN_BUY_SCORE,0.46
2025-06-07 17:25:32,MIN_BUY_SCORE,0.47
2025-06-07 17:40:36,MIN_BUY_SCORE,0.47
2025-06-07 17:55:41,MIN_BUY_SCORE,0.47
2025-06-07 18:10:47,MIN_BUY_SCORE,0.47
2025-06-07 18:25:52,MIN_BUY_SCORE,0.47
2025-06-07 18:40:57,MIN_BUY_SCORE,0.47
2025-06-07 18:56:01,MIN_BUY_SCORE,0.47
2025-06-07 19:11:06,MIN_BUY_SCORE,0.47
2025-06-07 19:26:12,MIN_BUY_SCORE,0.47
2025-06-07 19:41:16,MIN_BUY_SCORE,0.47
2025-06-07 19:56:21,MIN_BUY_SCORE,0.47
2025-06-07 20:11:26,MIN_BUY_SCORE,0.47
2025-06-07 20:26:31,MIN_BUY_SCORE,0.47
2025-06-07 20:41:36,MIN_BUY_SCORE,0.47
2025-06-07 20:56:41,MIN_BUY_SCORE,0.47
2025-06-07 21:11:45,MIN_BUY_SCORE,0.47
2025-06-07 21:26:50,MIN_BUY_SCORE,0.47
2025-06-07 21:41:54,MIN_BUY_SCORE,0.47
2025-06-07 21:56:58,MIN_BUY_SCORE,0.47
2025-06-07 22:12:02,MIN_BUY_SCORE,0.47
2025-06-07 22:42:07,MIN_BUY_SCORE,0.47
2025-06-07 23:12:11,MIN_BUY_SCORE,0.47
2025-06-07 23:42:15,MIN_BUY_SCORE,0.47
2025-06-08 00:12:19,MIN_BUY_SCORE,0.48
2025-06-08 00:42:24,MIN_BUY_SCORE,0.48
2025-06-08 01:12:30,MIN_BUY_SCORE,0.48
2025-06-08 01:42:35,MIN_BUY_SCORE,0.48
2025-06-08 02:12:41,MIN_BUY_SCORE,0.48
2025-06-08 03:12:48,MIN_BUY_SCORE,0.48
2025-06-08 04:12:52,MIN_BUY_SCORE,0.48
2025-06-08 05:12:58,MIN_BUY_SCORE,0.48
2025-06-08 06:13:03,MIN_BUY_SCORE,0.48
2025-06-08 07:13:08,MIN_BUY_SCORE,0.48
2025-06-08 08:13:14,MIN_BUY_SCORE,0.48
2025-06-08 08:28:19,MIN_BUY_SCORE,0.48
2025-06-08 08:43:23,MIN_BUY_SCORE,0.48
2025-06-08 08:58:28,MIN_BUY_SCORE,0.48
2025-06-08 09:13:32,MIN_BUY_SCORE,0.48
2025-06-08 09:28:37,MIN_BUY_SCORE,0.48
2025-06-08 09:43:43,MIN_BUY_SCORE,0.48
2025-06-08 09:58:48,MIN_BUY_SCORE,0.48
2025-06-08 10:13:53,MIN_BUY_SCORE,0.48
2025-06-08 10:28:58,MIN_BUY_SCORE,0.48
2025-06-08 10:44:04,MIN_BUY_SCORE,0.48
2025-06-08 10:59:08,MIN_BUY_SCORE,0.48
2025-06-08 11:14:15,MIN_BUY_SCORE,0.48
2025-06-08 11:29:19,MIN_BUY_SCORE,0.48
2025-06-08 11:44:24,MIN_BUY_SCORE,0.48
2025-06-08 11:59:31,MIN_BUY_SCORE,0.48
2025-06-08 12:14:36,MIN_BUY_SCORE,0.48
2025-06-08 12:29:41,MIN_BUY_SCORE,0.48
2025-06-08 12:44:46,MIN_BUY_SCORE,0.49
2025-06-08 12:59:46,MIN_BUY_SCORE,0.49
2025-06-08 17:27:04,MIN_BUY_SCORE,0.49
