timestamp,signal,total_signals,positive_outcomes,hit_rate_%,avg_return_%
2025-06-02 10:10:47,SELL,522,450,86.2,1.34
2025-06-02 10:10:47,HOLD,9364,4637,49.5,-0.01
2025-06-02 10:25:50,BUY,105,105,100.0,909.9
2025-06-02 10:25:50,SELL,545,470,86.2,1.33
2025-06-02 10:25:50,HOLD,9692,4848,50.0,0.01
2025-06-02 10:40:53,BUY,106,106,100.0,909.9
2025-06-02 10:40:53,SELL,568,490,86.3,1.32
2025-06-02 10:40:53,HOLD,10020,5040,50.3,0.03
2025-06-02 10:55:56,BUY,107,107,100.0,909.9
2025-06-02 10:55:56,SELL,591,506,85.6,1.29
2025-06-02 10:55:56,HOLD,10348,5207,50.3,0.03
2025-06-02 11:10:59,BUY,108,108,100.0,909.9
2025-06-02 11:10:59,SELL,614,517,84.2,1.25
2025-06-02 11:10:59,HOLD,10676,5349,50.1,0.02
2025-06-02 11:26:02,BUY,109,109,100.0,909.9
2025-06-02 11:26:02,SELL,637,528,82.9,1.22
2025-06-02 11:26:02,HOLD,11004,5491,49.9,0.01
2025-06-02 11:41:06,BUY,110,110,100.0,909.9
2025-06-02 11:41:06,SELL,660,539,81.7,1.18
2025-06-02 11:41:06,HOLD,11332,5632,49.7,0.01
2025-06-02 11:56:09,BUY,111,111,100.0,909.9
2025-06-02 11:56:09,SELL,683,550,80.5,1.15
2025-06-02 11:56:09,HOLD,11660,5767,49.5,-0.0
2025-06-02 12:11:13,BUY,112,112,100.0,909.9
2025-06-02 12:11:13,SELL,706,561,79.5,1.12
2025-06-02 12:11:13,HOLD,11988,5899,49.2,-0.01
2025-06-02 12:26:16,BUY,113,113,100.0,909.9
2025-06-02 12:26:16,SELL,729,571,78.3,1.08
2025-06-02 12:26:16,HOLD,12316,6015,48.8,-0.02
2025-06-02 12:41:19,BUY,114,114,100.0,909.9
2025-06-02 12:41:19,SELL,752,581,77.3,1.05
2025-06-02 12:41:19,HOLD,12644,6134,48.5,-0.03
2025-06-02 12:56:17,BUY,115,115,100.0,909.9
2025-06-02 12:56:17,SELL,775,591,76.3,1.02
2025-06-02 12:56:17,HOLD,12972,6263,48.3,-0.04
2025-06-02 13:11:21,BUY,116,116,100.0,909.9
